,1,2,3,4,5,6,7,8,9
17-Sep,41,41,53,41,47,44,43,31,49
18-Sep,47,45,58,45,51,50,46,34,56
19-Sep,54,50,64,50,57,56,53,41,61
20-Sep,58,54,71,54,61,62,58,44,67
21-Sep,64,58,78,59,67,67,63,48,72
22-Sep,70,64,83,64,72,73,70,52,79
23-Sep,77,69,89,70,80,79,74,57,84
24-Sep,85,74,94,77,87,86,82,62,91
25-Sep,94,81,105,85,93,92,89,66,98
26-Sep,101,88,111,93,99,92,94,71,103
27-Sep,109,92,118,100,106,101,100,76,113
28-Sep,118,100,125,108,114,108,107,82,115
29-Sep,127,109,133,116,122,116,116,88,126
30-Sep,131,112,137,121,126,124,122,94,131
1-Oct,140,116,144,127,128,127,124,94,134
2-Oct,149,123,148,139,133,133,127,100,138
3-Oct,157,131,155,143,144,141,135,104,147
4-Oct,164,136,164,149,149,145,143,110,149
5-Oct,177,142,170,158,158,152,152,117,158
6-Oct,179,145,175,163,162,158,154,119,161
7-Oct,186,150,182,173,168,169,162,124,175
8-Oct,195,157,186,180,177,171,163,129,178
9-Oct,202,160,192,189,184,176,173,132,185
10-Oct,211,168,200,193,190,181,177,140,196
11-Oct,216,171,206,201,194,188,187,142,196
12-Oct,230,180,216,211,204,199,193,150,211
13-Oct,238,185,225,221,212,206,205,155,216
14-Oct,247,195,232,229,221,213,211,162,222
15-Oct,245,195,235,229,223,215,213,161,229
16-Oct,253,199,239,234,233,223,220,166,234
17-Oct,263,203,250,243,240,226,230,172,242
18-Oct,273,211,257,252,247,235,235,179,250
19-Oct,284,220,267,258,254,241,244,187,255
20-Oct,292,227,272,268,263,252,255,190,263
21-Oct,294,232,280,269,269,255,257,199,266
22-Oct,299,243,284,276,275,262,265,197,273
23-Oct,304,245,288,278,281,266,263,201,289
24-Oct,308,247,294,286,286,273,273,208,291
25-Oct,317,253,300,294,292,274,276,216,292
26-Oct,326,262,307,304,299,284,281,220,300
27-Oct,326,270,310,306,302,279,284,223,301
28-Oct,330,269,310,307,310,285,290,224,304
29-Oct,330,271,312,315,313,295,291,230,313
30-Oct,330,278,315,320,316,295,293,235,317
31-Oct,343,286,316,325,324,302,293,237,323
1-Nov,351,293,324,331,329,309,297,242,328
2-Nov,355,298,330,337,336,313,300,247,336
3-Nov,357,298,333,338,338,310,301,249,340
4-Nov,358,302,336,345,343,320,300,255,344
5-Nov,364,304,333,342,347,323,302,254,347
6-Nov,368,308,338,347,348,325,303,255,343
7-Nov,371,311,340,351,356,330,304,258,347
8-Nov,376,315,347,355,360,340,307,264,353
9-Nov,380,318,351,357,363,340,306,265,358
