,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,group
21,75.0,121.0,102.0,0.0,129.0,78.0,86.0,0.0,0.0,123.0,13.0,176.0,10.0,0.0,167.0,104.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,HFHS ad lib
22,93.0,31.0,18.0,0.0,156.0,0.0,111.0,47.0,73.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,HFHS ad lib
23,30.0,75.0,63.0,47.0,70.0,0.0,0.0,100.0,0.0,0.0,31.0,129.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,HFHS ad lib
26,52.0,112.0,37.0,0.0,28.0,220.0,0.0,0.0,89.0,103.0,81.0,0.0,96.0,0.0,0.0,228.0,0.0,59.0,0.0,0.0,0.0,77.0,0.0,0.0,HFHS ad lib
27,160.0,0.0,33.0,0.0,182.0,127.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,107.0,0.0,0.0,76.0,,,,,,,0.0,HFHS ad lib
29,0.0,0.0,191.0,0.0,45.0,76.0,50.0,0.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
30,0.0,0.0,32.0,32.0,0.0,49.0,0.0,103.0,126.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
31,0.0,0.0,6.0,36.0,153.0,73.0,58.0,241.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
32,0.0,0.0,151.0,33.0,157.0,0.0,233.0,0.0,120.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
33,0.0,0.0,187.0,71.0,23.0,68.0,0.0,4.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
35,0.0,0.0,359.0,15.0,0.0,115.0,0.0,96.0,86.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
36,0.0,0.0,175.0,0.0,69.0,0.0,0.0,198.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HFHS restriction
